ratio,threshold,n_flagged,rate_pct,n_windows,precision,recall,f1
0.1,0.235167,4813,0.6121540496540496,2008,0.927224522625041,0.9452458319414497,0.9361484555926494
0.25,0.14249784,12034,1.5305759055759056,6764,0.7811735645266752,0.9795924564973124,0.8692032012071892
0.5,0.10134121,24068,3.0611518111518112,13832,0.6139111379779356,0.986911233259437,0.7569556862516741
1.0,0.070703775,48136,6.1223036223036225,25778,0.42898051939522114,0.9917398038203408,0.5989033157276995
2.0,0.045300763,96272,12.244607244607245,45174,0.2679067343165919,0.9989978438458501,0.42250735303561565
